date,close,open,high,low,volumn
20181122,69300,68100,69700,68000,1966126
20181121,68100,66900,68300,66100,3100596
20181120,67500,67000,68200,67000,3325563
20181119,69800,69600,70500,68900,2303677
20181116,70100,72600,72900,70000,2894513
20181115,71800,70800,71800,70400,1564647
20181114,70400,71400,72100,70200,2783377
20181113,71900,72300,72500,69900,4730929
20181112,74500,72200,74500,71800,3328433
20181109,72900,72400,73600,71900,3414946
20181108,72900,72900,73300,72600,3930969
20181107,70800,70400,72300,70100,3770119
20181106,70100,70500,70600,69100,2624868
20181105,70500,72000,72100,70100,3389386
20181102,72600,70600,72800,69100,5334082
20181101,68300,68900,69600,67800,3218076
20181031,68200,69300,70400,67600,5038931
20181030,68200,66000,70900,65900,6101533
20181029,66800,66600,67800,64800,4252977
20181026,67000,65100,67100,62900,6211406
20181025,64700,64700,66000,63200,5859332
20181024,66700,69400,69600,65800,5703361
20181023,69100,69600,70000,68600,3175869
20181022,70000,69600,70900,69600,2377240
20181019,70800,68100,70900,67800,2688930
20181018,68700,69600,69900,68700,2849229
20181017,70400,71400,71700,70300,2653053
20181016,69700,70300,71000,69600,2211661
20181015,70300,71600,71700,69900,3727297
20181012,72400,69200,73200,69200,4882184
20181011,69000,67600,70200,67500,4936490
20181010,70300,70300,71100,69800,4161114
20181008,71200,69500,71800,69400,2856291
20181005,70300,69700,71100,69400,5508014
20181004,70000,71700,72200,69800,5778810
20181002,71700,73600,74000,71600,4089558
20181001,73700,74300,74600,73200,2970456
20180928,73100,75300,75900,73100,5824873
20180927,75000,75900,75900,74700,5841083
20180921,76700,77100,77500,76300,5678068
20180920,79100,78600,79900,78000,3392490
20180919,78800,79400,79700,78400,2912259
20180918,78000,76600,78300,76100,2450163
20180917,77200,78000,78200,76700,2252063
20180914,77700,76100,77800,76000,4124842
20180913,74500,74300,75200,73900,5257563
20180912,75100,76200,76200,74700,4330147
20180911,76600,76400,77800,76300,3197796
20180910,76500,75900,77100,75500,4167711
20180907,75900,74500,76200,74100,8388278
20180906,78800,78300,78900,77400,4516654
20180905,80000,80600,81000,79900,2627619
20180904,81200,80600,81600,80200,1903734
20180903,80600,82200,82800,80500,2618619
20180831,83000,81800,83000,81800,2303812
20180830,82700,82200,83500,81500,2337573
20180829,82800,82500,83300,81600,2330703
20180828,82400,84100,84300,81900,4466308
20180827,83500,82100,83800,81600,3070598
20180824,81800,80400,82200,79600,3612709
20180823,81100,80300,81300,79300,3272130
20180822,79800,79300,80900,78200,5295710
20180821,78400,74800,78700,74400,5663191
20180820,74700,74700,75400,74400,2048829
20180817,74500,74400,75500,74100,2647963
20180816,74700,73500,75400,72500,5550888
20180814,75900,75900,76600,75500,3206407
20180813,75400,74300,75700,74100,3734794
20180810,75100,77200,77600,74600,6785694
20180809,78000,80100,80300,77500,5587662
20180808,79800,81500,81600,79400,2804784
20180807,80700,80100,80800,79700,3288142
20180806,79400,82200,82300,79300,5910100
